Metal,16.354218,1643,201.803,20455
Metal,16.354218,1437,205.99431,25517
Metal,16.354218,1560,206.47397,23216
Metal,16.354218,2100,206.40033,26220
Metal,16.354218,2057,204.40086,37076
Metal,16.354218,1772,210.74521,14317
Metal,16.354218,1457,210.48265,3243
Metal,16.354218,1911,208.998,6041
Metal,16.354218,1968,199.6428,1669
Metal,16.354218,1936,206.7304,30519
Metal,16.354218,1632,208.04953,9677
Metal,16.354218,1506,207.6671,11855
Metal,16.354218,1828,201.13023,3126
Metal,16.354218,1557,200.41275,8358
Metal,16.354218,1576,209.90785,5287
Metal,16.354218,1458,207.9863,27023
Metal,16.354218,1997,205.6334,43968
Metal,16.354218,1642,206.14041,42313
Metal,16.354218,1616,199.33783,4158
Metal,16.354218,1417,203.7251,4356
Metal,16.354218,2032,211.7744,907
Metal,16.354218,2021,207.56894,37996
Metal,16.354218,1774,200.16412,13424
Metal,16.354218,1497,209.02711,11572
Metal,16.354218,1932,200.0818,1570
Metal,16.354218,2195,204.7695,18161
Metal,16.354218,1477,202.43253,29574
Metal,16.354218,2057,200.62953,18565
Metal,16.354218,1740,199.21907,693
Metal,16.354218,1739,204.41257,19174
Metal,16.354218,2093,204.56679,3533
Metal,16.354218,2113,208.94849,6171
Metal,16.354218,2177,201.23059,4725
Metal,16.354218,1402,204.42899,38254
Metal,16.354218,1785,207.17099,33180
Metal,16.354218,1592,201.16164,2965
Metal,16.354218,1494,209.88469,11769
Metal,16.354218,1556,208.52779,13696
Metal,16.354218,1597,206.79236,30204
Metal,16.354218,1908,201.75577,6894
Metal,16.354218,2115,203.64957,29995
Metal,16.354218,1830,204.25839,30802
Metal,16.354218,1438,209.10712,8432
Metal,16.354218,2217,204.87038,28489
Metal,16.354218,1984,210.29729,11927
Metal,16.354218,1577,211.33789,6751
Metal,16.354218,2169,205.65857,40562
Metal,16.354218,1454,207.81667,34796
Metal,16.354218,1525,205.96037,20465
Metal,16.354218,1572,209.19469,26998
Metal,16.354218,1918,205.66869,39007
Metal,16.354218,1599,208.6495,9480
Metal,16.354218,1398,211.35117,2709
Metal,16.354218,1629,206.52087,33471
Metal,16.354218,1687,200.65395,14340
Metal,16.354218,1843,203.64935,12436
Metal,16.354218,1884,199.31865,774
Metal,16.354218,1442,200.14774,9831
Metal,16.354218,1546,207.80176,1647
Metal,16.354218,2084,204.41711,38541
Metal,16.354218,1674,208.57195,26367
Metal,16.354218,1621,199.25856,125
Metal,16.354218,1550,210.10315,8308
